"prompt","task"
"Die Gesamtkosten sind von Januar bis Februar 2026 deutlich gestiegen. Analysieren Sie das Hauptbuch und identifizieren Sie die drei Aufwandskonten mit dem größten Anstieg. Erstellen Sie für jedes der drei Konten ein internes Projekt mit dem Kontonamen. Erstellen Sie außerdem eine Aktivität für jedes Projekt.","Task 28: ""Resultatanalyse, kostnadsøkning"""
"We have discovered errors in the general ledger for January and February 2026. Review all vouchers and find the 4 errors: a posting to the wrong account (account 7300 used instead of 7000, amount 1650 NOK), a duplicate voucher (account 6500, amount 3100 NOK), a missing VAT line (account 6540, amount excl. 20950 NOK missing VAT on account 2710), and an incorrect amount (account 6340, 18100 NOK posted instead of 6050 NOK). Correct all errors with appropriate correction vouchers.","Task 24: Feilsøking i hovedbok"
"We have received invoice INV-2026-8735 from the supplier Brightstone Ltd (org no. 913701585) for 8500 NOK including VAT. The amount relates to office services (account 7100). Register the supplier invoice with the correct input VAT (25%).","Task 11: Registrer leverandørfaktura"
"Erstellen Sie eine Rechnung für den Kunden Nordlicht GmbH (Org.-Nr. 855854171) mit drei Produktzeilen: Netzwerkdienst (2450) zu 28650 NOK mit 25 % MwSt., Cloud-Speicher (6871) zu 13750 NOK mit 15 % MwSt. (Lebensmittel), und Wartung (2881) zu 18000 NOK mit 0 % MwSt. (befreit).","Task 9: Faktura med flere produktlinjer og ulik MVA"
"Establezca un precio fijo de 266550 NOK en el proyecto ""Seguridad de datos"" para Montaña SL (org. nº 865036981). El director del proyecto es Sofía Pérez (sofia.perez@example.org). Facture al cliente el 50 % del precio fijo como pago parcial.","Task 15: Sett fastpris og fakturer prosjekt"
"Registe 35 horas para Inês Ferreira (ines.ferreira@example.org) na atividade ""Testing"" do projeto ""Configuração cloud"" para Floresta Lda (org. nº 949247589). Taxa horária: 1000 NOK/h. Gere uma fatura de projeto ao cliente com base nas horas registadas.","Task 16: Timeføring og fakturering"
"Crea una factura para el cliente Sierra SL (org. nº 861379760) con tres líneas de producto: Mantenimiento (2109) a 27500 NOK con 25 % IVA, Horas de consultoría (1175) a 3900 NOK con 15 % IVA (alimentos), y Informe de análisis (9974) a 3400 NOK con 0 % IVA (exento).","Task 9: Faktura med flere produktlinjer og ulik MVA"
"Opprett prosjektet ""Migrasjon Snøhetta"" knyttet til kunden Snøhetta AS (org.nr 842796032). Prosjektleder er Eline Berg (eline.berg@example.org).","Task 8: Opprett prosjekt knyttet til kunde"
"Opprett kunden Nordhav AS med organisasjonsnummer 980461912. Adressen er Solveien 7, 4006 Stavanger. E-post: post@nordhav.no.","Task 2: Opprett kunde med org.nr"
"Nous avons envoyé une facture de 9273 EUR à Montagne SARL (nº org. 941382142) lorsque le taux de change était de 10.34 NOK/EUR. Le client a maintenant payé, mais le taux est de 10.83 NOK/EUR. Enregistrez le paiement et comptabilisez l'écart de change (agio) sur le bon compte.","Task 27: Valutafaktura med agio/disagio"
"El cliente Viento SL (org. nº 997137310) ha reclamado sobre la factura por ""Desarrollo de sistemas"" (47700 NOK sin IVA). Emita una nota de crédito completa que revierta toda la factura.","Task 14: Krediter faktura (kreditnota)"
"Créez le client Colline SARL avec le numéro d'organisation 939137599. L'adresse est Kirkegata 77, 4611 Kristiansand. E-mail : post@colline.no.","Task 2: Opprett kunde med org.nr"
"Créez trois départements dans Tripletex : ""Administrasjon"", ""IT"" et ""Utvikling"".","Task 5: Opprett avdelinger"
"You received an employment contract (see attached PDF). Create the employee in Tripletex with all details from the contract: national identity number, date of birth, department, occupation code, salary, employment percentage, and start date.","Task 19: Ansatt fra arbeidskontrakt (PDF)"
"Opprett ein fri rekneskapsdimensjon ""Marked"" med verdiane ""Offentlig"" og ""Privat"". Bokfør deretter eit bilag på konto 7300 for 49300 kr, knytt til dimensjonsverdien ""Offentlig"".","Task 17: Opprett fri dimensjon og bokfør bilag"
"You received an employment contract (see attached PDF). Create the employee in Tripletex with all details from the contract: national identity number, date of birth, department, occupation code, salary, employment percentage, and start date.","Task 19: Ansatt fra arbeidskontrakt (PDF)"
"Crea una factura para el cliente Río Verde SL (org. nº 863477905) con tres líneas de producto: Desarrollo de sistemas (2376) a 12000 NOK con 25 % IVA, Asesoría de datos (1496) a 13450 NOK con 15 % IVA (alimentos), y Mantenimiento (4543) a 12050 NOK con 0 % IVA (exento).","Task 9: Faktura med flere produktlinjer og ulik MVA"
"Processe o salário de Rafael Silva (rafael.silva@example.org) para este mês. O salário base é de 41150 NOK. Adicione um bónus único de 8500 NOK além do salário base.","Task 12: Lønnskjøring med tillegg"
"Wir haben eine Rechnung über 19629 EUR an Waldstein GmbH (Org.-Nr. 919320044) gesendet, als der Wechselkurs 11.14 NOK/EUR betrug. Der Kunde hat nun bezahlt, aber der Kurs liegt bei 10.74 NOK/EUR. Erfassen Sie die Zahlung und buchen Sie die Wechselkursdifferenz (disagio) auf das korrekte Konto.","Task 27: Valutafaktura med agio/disagio"
"Os custos totais aumentaram significativamente de janeiro a fevereiro de 2026. Analise o livro razão e identifique as três contas de despesa com o maior aumento em valor. Crie um projeto interno para cada uma das três contas com o nome da conta. Também crie uma atividade para cada projeto.","Task 28: ""Resultatanalyse, kostnadsøkning"""
"Os custos totais aumentaram significativamente de janeiro a fevereiro de 2026. Analise o livro razão e identifique as três contas de despesa com o maior aumento em valor. Crie um projeto interno para cada uma das três contas com o nome da conta. Também crie uma atividade para cada projeto.","Task 28: ""Resultatanalyse, kostnadsøkning"""
"Crea un pedido para el cliente Dorada SL (org. nº 984411359) con los productos Desarrollo de sistemas (5240) a 21950 NOK y Sesión de formación (5871) a 6350 NOK. Convierte el pedido en factura y registra el pago completo.","Task 10: Ordre til faktura til betaling"
"Has recibido una carta de oferta (ver PDF adjunto) para un nuevo empleado. Completa la incorporacion: crea el empleado, asigna el departamento correcto, configura los detalles de empleo con porcentaje y salario anual, y configura las horas de trabajo estandar.","Task 21: Komplett onboarding fra tilbudsbrev (PDF)"
"Kjør lønn for Tor Bakken (tor.bakken@example.org) for denne måneden. Grunnlønn er 34100 kr. Legg til en engangsbonus på 6550 kr i tillegg til grunnlønnen. Dersom lønns-API-et ikke fungerer, kan du bruke manuelle bilag på lønnskontoer (5000-serien) for å registrere lønnskostnaden.","Task 12: Lønnskjøring med tillegg"
"Concilia el extracto bancario (CSV adjunto) con las facturas abiertas en Tripletex. Relaciona los pagos entrantes con las facturas de clientes y los pagos salientes con las facturas de proveedores. Maneja los pagos parciales correctamente.","Task 23: Bankavstemming fra CSV"
"Effectuez la clôture annuelle simplifiée pour 2025 : 1) Calculez et comptabilisez l'amortissement annuel de trois immobilisations : Programvare (111950 NOK, 9 ans linéaire, compte 1250), Kontormaskiner (351450 NOK, 9 ans, compte 1200), Inventar (418800 NOK, 10 ans, compte 1240). Utilisez le compte 6010 pour les charges d'amortissement et 1209 pour les amortissements cumulés. 2) Extournez les charges constatées d'avance (total 79750 NOK au compte 1700). 3) Calculez et comptabilisez la provision d'impôt (22 % du bénéfice imposable) sur compte 8700/2920. Comptabilisez chaque amortissement comme une pièce comptable séparée.","Task 30: ""Årsoppgjør, avskrivninger, periodiseringer og skatt"""
"Registrer leverandøren Fossekraft AS med organisasjonsnummer 977371635. E-post: faktura@fossekraft.no.","Task 4: Opprett leverandør"
"Führen Sie die Gehaltsabrechnung für Sophia Müller (sophia.muller@example.org) für diesen Monat durch. Das Grundgehalt beträgt 48350 NOK. Fügen Sie einen einmaligen Bonus von 15450 NOK zum Grundgehalt hinzu.","Task 12: Lønnskjøring med tillegg"
"Führen Sie den Monatsabschluss für März 2026 durch. Buchen Sie die Rechnungsabgrenzung (6150 NOK pro Monat von Konto 1710 auf Aufwand). Erfassen Sie die monatliche Abschreibung für eine Anlage mit Anschaffungskosten 181400 NOK und Nutzungsdauer 3 Jahre (lineare Abschreibung auf Konto 6020). Überprüfen Sie, ob die Saldenbilanz null ergibt. Buchen Sie außerdem eine Gehaltsrückstellung (Soll Gehaltsaufwand Konto 5000, Haben aufgelaufene Gehälter Konto 2900).","Task 26: Periodeavslutning (månedsavslutning)"
"Sie haben einen Arbeitsvertrag erhalten (siehe beigefugte PDF). Erstellen Sie den Mitarbeiter in Tripletex mit allen Details aus dem Vertrag: Personalnummer, Geburtsdatum, Abteilung, Berufsschluessel, Gehalt, Beschaeftigungsprozentsatz und Startdatum.","Task 19: Ansatt fra arbeidskontrakt (PDF)"
"Utfør forenklet årsoppgjør for 2025: 1) Beregn og bokfør årlige avskrivninger for tre eiendeler: Inventar (468300 kr, 10 år lineært, konto 1240), Kontormaskiner (149750 kr, 10 år, konto 1200), Kjøretøy (412950 kr, 9 år, konto 1230). Bruk konto 6010 for avskrivningskostnad og 1209 for akkumulerte avskrivninger. 2) Reverser forskuddsbetalte kostnader (totalt 47850 kr på konto 1700). 3) Beregn og bokfør skattekostnad (22 % av skattbart resultat) på konto 8700/2920. Bokfør hver avskrivning som et eget bilag.","Task 30: ""Årsoppgjør, avskrivninger, periodiseringer og skatt"""
"Vi har oppdaget feil i hovedboken for januar og februar 2026. Gå gjennom alle bilag og finn de 4 feilene: en postering på feil konto (konto 7140 brukt i stedet for 7100, beløp 5850 kr), et duplisert bilag (konto 7300, beløp 1200 kr), en manglende MVA-linje (konto 6540, beløp ekskl. 13000 kr mangler MVA på konto 2710), og et feil beløp (konto 7100, 19050 kr bokført i stedet for 7100 kr). Korriger alle feil med riktige bilag.","Task 24: Feilsøking i hovedbok"
"Du har motteke eit tilbodsbrev (sjaa vedlagt PDF) for ein ny tilsett. Utfor komplett onboarding: opprett den tilsette, tilknytt rett avdeling, set opp tilsetjingsforhold med stillingsprosent og arslonn, og konfigurer standard arbeidstid.","Task 21: Komplett onboarding fra tilbudsbrev (PDF)"
"Les coûts totaux ont augmenté de manière significative de janvier à février 2026. Analysez le grand livre et identifiez les trois comptes de charges avec la plus forte augmentation. Créez un projet interne pour chacun des trois comptes avec le nom du compte. Créez également une activité pour chaque projet.","Task 28: ""Resultatanalyse, kostnadsøkning"""
"Precisamos da despesa de Kaffemøte deste recibo registada no departamento Salg. Use a conta de despesas correta e garanta o tratamento correto do IVA.","Task 22: Utgift fra kvittering (PDF) på avdeling"
"Registe o fornecedor Luz do Sol Lda com número de organização 894596554. E-mail: faktura@luzdosollda.no.","Task 4: Opprett leverandør"
"Créez trois départements dans Tripletex : ""Produksjon"", ""Salg"" et ""Innkjøp"".","Task 5: Opprett avdelinger"
"Du har motteke eit tilbodsbrev (sjaa vedlagt PDF) for ein ny tilsett. Utfor komplett onboarding: opprett den tilsette, tilknytt rett avdeling, set opp tilsetjingsforhold med stillingsprosent og arslonn, og konfigurer standard arbeidstid.","Task 21: Komplett onboarding fra tilbudsbrev (PDF)"
"Sett fastpris 318800 kr på prosjektet ""Digital transformasjon"" for Strandvik AS (org.nr 883822684). Prosjektleiar er Jorunn Brekke (jorunn.brekke@example.org). Fakturer kunden for 50 % av fastprisen som ei delbetaling.","Task 15: Sett fastpris og fakturer prosjekt"
"Opprett ein fri rekneskapsdimensjon ""Prosjekttype"" med verdiane ""Utvikling"" og ""Internt"". Bokfør deretter eit bilag på konto 6860 for 40600 kr, knytt til dimensjonsverdien ""Utvikling"".","Task 17: Opprett fri dimensjon og bokfør bilag"
"We have received invoice INV-2026-3205 from the supplier Ironbridge Ltd (org no. 828254375) for 24500 NOK including VAT. The amount relates to office services (account 6590). Register the supplier invoice with the correct input VAT (25%).","Task 11: Registrer leverandørfaktura"
"Le client Montagne SARL (nº org. 882988155) a réclamé concernant la facture pour ""Heures de conseil"" (40900 NOK HT). Émettez un avoir complet qui annule l'intégralité de la facture.","Task 14: Krediter faktura (kreditnota)"
"Opprett ein ordre for kunden Bølgekraft AS (org.nr 908252764) med produkta Nettverksteneste (6065) til 25500 kr og Systemutvikling (2511) til 23550 kr. Konverter ordren til faktura og registrer full betaling.","Task 10: Ordre til faktura til betaling"
"Crea tres departamentos en Tripletex: ""Logistikk"", ""Produksjon"" y ""Drift"".","Task 5: Opprett avdelinger"
"Enviamos una factura por 9487 EUR a Estrella SL (org. nº 834293692) cuando el tipo de cambio era 11.54 NOK/EUR. El cliente ha pagado ahora, pero el tipo es 10.95 NOK/EUR. Registre el pago y contabilice la diferencia de tipo de cambio (disagio) en la cuenta correcta.","Task 27: Valutafaktura med agio/disagio"
"Du har mottatt et tilbudsbrev (se vedlagt PDF) for en ny ansatt. Utfor komplett onboarding: opprett den ansatte, tilknytt riktig avdeling, sett opp ansettelsesforhold med stillingsprosent og arslonn, og konfigurer standard arbeidstid.","Task 21: Komplett onboarding fra tilbudsbrev (PDF)"
"Log 15 hours for Samuel Williams (samuel.williams@example.org) on the activity ""Analyse"" in the project ""Website Redesign"" for Windmill Ltd (org no. 898523942). Hourly rate: 1950 NOK/h. Generate a project invoice to the customer based on the logged hours.","Task 16: Timeføring og fakturering"
"Has recibido una carta de oferta (ver PDF adjunto) para un nuevo empleado. Completa la incorporacion: crea el empleado, asigna el departamento correcto, configura los detalles de empleo con porcentaje y salario anual, y configura las horas de trabajo estandar.","Task 21: Komplett onboarding fra tilbudsbrev (PDF)"
"Totalkostnadene auka monaleg frå januar til februar 2026. Analyser hovudboka og finn dei tre kostnadskontoane med størst auke i beløp. Opprett eit internt prosjekt for kvar av dei tre kontoane med kontoens namn. Opprett også ein aktivitet for kvart prosjekt.","Task 28: ""Resultatanalyse, kostnadsøkning"""
"Crie o produto ""Serviço de rede"" com número de produto 4252. O preço é 8200 NOK sem IVA, utilizando a taxa padrão de 25 %.","Task 3: Opprett produkt med MVA"
"Create and send an invoice to the customer Clearwater Ltd (org no. 935400759) for 3100 NOK excluding VAT. The invoice is for Data Advisory.","Task 6: Opprett enkel faktura"
"Créez trois départements dans Tripletex : ""Økonomi"", ""Lager"" et ""IT"".","Task 5: Opprett avdelinger"
"Sie haben ein Angebotsschreiben erhalten (siehe beigefugte PDF) fuer einen neuen Mitarbeiter. Fuehren Sie das vollstaendige Onboarding durch: erstellen Sie den Mitarbeiter, weisen Sie die richtige Abteilung zu, richten Sie die Beschaeftigungsdetails mit Prozentsatz und Jahresgehalt ein, und konfigurieren Sie die Standardarbeitszeit.","Task 21: Komplett onboarding fra tilbudsbrev (PDF)"
"Opprett prosjektet ""Analyse Fjordkraft"" knyttet til kunden Fjordkraft AS (org.nr 944845712). Prosjektleder er Hilde Johansen (hilde.johansen@example.org).","Task 8: Opprett prosjekt knyttet til kunde"
"Execute the complete project lifecycle for 'Cloud Migration Northwave' (Northwave Ltd, org no. 932075482): 1) The project has a budget of 396900 NOK. 2) Log time: Samuel Brown (project manager, samuel.brown@example.org) 74 hours and Sarah Lewis (consultant, sarah.lewis@example.org) 85 hours. 3) Register supplier cost of 56750 NOK from Clearwater Ltd (org no. 889264985). 4) Create a customer invoice for the project.","Task 29: Komplett prosjektsyklus med avvik"
"Crie o cliente Porto Alegre Lda com número de organização 834147254. O endereço é Storgata 65, 4611 Kristiansand. E-mail: post@porto.no.","Task 2: Opprett kunde med org.nr"
"Crie e envie uma fatura ao cliente Porto Alegre Lda (org. nº 826870192) por 22700 NOK sem IVA. A fatura refere-se a Design web.","Task 6: Opprett enkel faktura"
"En av kundene dine har en forfalt faktura. Finn den forfalte fakturaen og bokfor et purregebyr pa 40 kr. Debet kundefordringer (1500), kredit purregebyr (3400). Opprett også en faktura for purregebyret til kunden og send den. Registrer i tillegg en delbetaling på 5000 kr på den forfalte fakturaen.","Task 7: Registrer utgående betaling"
"Führen Sie den Monatsabschluss für März 2026 durch. Buchen Sie die Rechnungsabgrenzung (3400 NOK pro Monat von Konto 1700 auf Aufwand). Erfassen Sie die monatliche Abschreibung für eine Anlage mit Anschaffungskosten 289700 NOK und Nutzungsdauer 7 Jahre (lineare Abschreibung auf Konto 6020). Überprüfen Sie, ob die Saldenbilanz null ergibt. Buchen Sie außerdem eine Gehaltsrückstellung (Soll Gehaltsaufwand Konto 5000, Haben aufgelaufene Gehälter Konto 2900).","Task 26: Periodeavslutning (månedsavslutning)"
"Crie uma fatura para o cliente Solmar Lda (org. nº 857302435) com três linhas de produto: Design web (4982) a 21250 NOK com 25 % IVA, Relatório de análise (8365) a 7100 NOK com 15 % IVA (alimentos), e Sessão de formação (1064) a 9550 NOK com 0 % IVA (isento).","Task 9: Faktura med flere produktlinjer og ulik MVA"
"Vi treng USB-hub fra denne kvitteringa bokfort pa avdeling Kvalitetskontroll. Bruk rett utgiftskonto basert pa kjopet, og sorg for korrekt MVA-behandling.","Task 22: Utgift fra kvittering (PDF) på avdeling"
"Recebemos a fatura INV-2026-6293 do fornecedor Montanha Lda (org. nº 980979431) no valor de 12050 NOK com IVA incluído. O montante refere-se a serviços de escritório (conta 7000). Registe a fatura do fornecedor com o IVA dedutível correto (25 %).","Task 11: Registrer leverandørfaktura"
"Führen Sie den vereinfachten Jahresabschluss für 2025 durch: 1) Berechnen und buchen Sie die jährliche Abschreibung für drei Anlagen: IT-utstyr (229850 NOK, 10 Jahre linear, Konto 1210), Kontormaskiner (146050 NOK, 8 Jahre, Konto 1200), Kjøretøy (311650 NOK, 6 Jahre, Konto 1230). Verwenden Sie Konto 6010 für Abschreibungsaufwand und 1209 für kumulierte Abschreibungen. 2) Lösen Sie vorausbezahlte Aufwendungen auf (insgesamt 27650 NOK auf Konto 1700). 3) Berechnen und buchen Sie die Steuerrückstellung (22 % des steuerpflichtigen Gewinns) auf Konto 8700/2920. Buchen Sie jede Abschreibung als separaten Beleg.","Task 30: ""Årsoppgjør, avskrivninger, periodiseringer og skatt"""
"Registrer leverandøren Sjøbris AS med organisasjonsnummer 811212717. E-post: faktura@sjbris.no.","Task 4: Opprett leverandør"
"Wir haben eine Rechnung über 8077 EUR an Bergwerk GmbH (Org.-Nr. 863352010) gesendet, als der Wechselkurs 10.91 NOK/EUR betrug. Der Kunde hat nun bezahlt, aber der Kurs liegt bei 10.29 NOK/EUR. Erfassen Sie die Zahlung und buchen Sie die Wechselkursdifferenz (disagio) auf das korrekte Konto.","Task 27: Valutafaktura med agio/disagio"
"Realize o encerramento mensal de março de 2026. Registe a reversão de acréscimos (9700 NOK por mês da conta 1710 para despesa). Registe a depreciação mensal de um ativo fixo com custo de aquisição 117300 NOK e vida útil 3 anos (depreciação linear para conta 6020). Verifique se o balancete está a zero. Registe também uma provisão salarial (débito conta de despesas salariais 5000, crédito conta de salários acumulados 2900).","Task 26: Periodeavslutning (månedsavslutning)"
"Realice el cierre anual simplificado de 2025: 1) Calcule y contabilice la depreciación anual de tres activos: Programvare (359300 NOK, 4 años lineales, cuenta 1250), IT-utstyr (444050 NOK, 6 años, cuenta 1210), Kjøretøy (344650 NOK, 3 años, cuenta 1230). Use cuenta 6010 para gasto de depreciación y 1209 para depreciación acumulada. 2) Revierta gastos prepagados (total 36150 NOK en cuenta 1700). 3) Calcule y contabilice la provisión de impuestos (22 % del resultado imponible) en cuenta 8700/2920. Registre cada depreciación como un comprobante separado.","Task 30: ""Årsoppgjør, avskrivninger, periodiseringer og skatt"""
"Rapprochez le releve bancaire (CSV ci-joint) avec les factures ouvertes dans Tripletex. Associez les paiements entrants aux factures clients et les paiements sortants aux factures fournisseurs. Gerez correctement les paiements partiels.","Task 23: Bankavstemming fra CSV"
"Registrer en reiseregning for Ingrid Larsen (ingrid.larsen@example.org) for ""Kundebesøk Trondheim"". Reisen varte 2 dager med diett (dagsats 800 kr). Utlegg: flybillett 2500 kr og taxi 600 kr.","Task 13: Registrer reiseregning med utlegg"
"Die Zahlung von Nordlicht GmbH (Org.-Nr. 985405077) für die Rechnung ""Wartung"" (42200 NOK ohne MwSt.) wurde von der Bank zurückgebucht. Stornieren Sie die Zahlung, damit die Rechnung wieder den offenen Betrag anzeigt.","Task 18: Reverser betaling (bankretur)"
"Gjennomfør hele prosjektsyklusen for 'ERP-implementering Bergvik' (Bergvik AS, org.nr 886943407): 1) Prosjektet har budsjett 400950 kr. 2) Registrer timer: Ragnhild Strand (prosjektleder, ragnhild.strand@example.org) 35 timer og Silje Bakken (konsulent, silje.bakken@example.org) 79 timer. 3) Registrer leverandørkostnad 94350 kr fra Brattli AS (org.nr 810297891). 4) Opprett kundefaktura for prosjektet.","Task 29: Komplett prosjektsyklus med avvik"
"Du har mottatt et tilbudsbrev (se vedlagt PDF) for en ny ansatt. Utfor komplett onboarding: opprett den ansatte, tilknytt riktig avdeling, sett opp ansettelsesforhold med stillingsprosent og arslonn, og konfigurer standard arbeidstid.","Task 21: Komplett onboarding fra tilbudsbrev (PDF)"
"L'un de vos clients a une facture en retard. Trouvez la facture en retard et enregistrez des frais de rappel de 70 NOK. Debit creances clients (1500), credit revenus de rappel (3400). Créez également une facture pour les frais de rappel au client et envoyez-la. De plus, enregistrez un paiement partiel de 5000 NOK sur la facture en retard.","Task 7: Registrer utgående betaling"
"Reconcilie o extrato bancario (CSV anexo) com as faturas em aberto no Tripletex. Relacione os pagamentos recebidos com as faturas de clientes e os pagamentos efetuados com as faturas de fornecedores. Trate os pagamentos parciais corretamente.","Task 23: Bankavstemming fra CSV"
"El cliente Luna SL (org. nº 993794775) ha reclamado sobre la factura por ""Diseño web"" (15150 NOK sin IVA). Emita una nota de crédito completa que revierta toda la factura.","Task 14: Krediter faktura (kreditnota)"
"Nous avons besoin de la depense Oppbevaringsboks de ce recu enregistree au departement Produksjon. Utilisez le bon compte de charges et assurez le traitement correct de la TVA.","Task 22: Utgift fra kvittering (PDF) på avdeling"
"One of your customers has an overdue invoice. Find the overdue invoice and post a reminder fee of 70 NOK. Debit accounts receivable (1500), credit reminder fees (3400). Also create an invoice for the reminder fee to the customer and send it. Additionally, register a partial payment of 5000 NOK on the overdue invoice.","Task 7: Registrer utgående betaling"
"Registe o fornecedor Oceano Lda com número de organização 841149394. E-mail: faktura@oceanolda.no.","Task 4: Opprett leverandør"
"Registrer en reiseregning for Magnus Haugen (magnus.haugen@example.org) for ""Kundebesøk Bergen"". Reisen varte 4 dager med diett (dagsats 800 kr). Utlegg: flybillett 5050 kr og taxi 750 kr.","Task 13: Registrer reiseregning med utlegg"
"Opprett produktet ""Analyserapport"" med produktnummer 3637. Prisen er 31900 kr eksklusiv MVA, og standard MVA-sats på 25 % skal nyttast.","Task 3: Opprett produkt med MVA"
"Vous avez recu une facture fournisseur (voir PDF ci-joint). Enregistrez la facture dans Tripletex. Creez le fournisseur s'il n'existe pas. Utilisez le bon compte de charges et la TVA deductible.","Task 20: Leverandørfaktura fra PDF"
"Descobrimos erros no livro razão de janeiro e fevereiro de 2026. Revise todos os vouchers e encontre os 4 erros: um lançamento na conta errada (conta 7300 usada em vez de 7000, valor 7800 NOK), um voucher duplicado (conta 6860, valor 3500 NOK), uma linha de IVA em falta (conta 6500, valor sem IVA 18350 NOK falta IVA na conta 2710), e um valor incorreto (conta 7300, 15000 NOK registado em vez de 10050 NOK). Corrija todos os erros com lançamentos corretivos.","Task 24: Feilsøking i hovedbok"
"Reconcile the bank statement (attached CSV) against open invoices in Tripletex. Match incoming payments to customer invoices and outgoing payments to supplier invoices. Handle partial payments correctly.","Task 23: Bankavstemming fra CSV"
"Perform simplified year-end closing for 2025: 1) Calculate and post annual depreciation for three assets: Kontormaskiner (138450 NOK, 6 years straight-line, account 1200), Programvare (280000 NOK, 9 years, account 1250), Inventar (484650 NOK, 8 years, account 1240). Use account 6010 for depreciation expense and 1209 for accumulated depreciation. 2) Reverse prepaid expenses (total 52250 NOK on account 1700). 3) Calculate and post tax provision (22% of taxable profit) on account 8700/2920. Post each depreciation as a separate voucher.","Task 30: ""Årsoppgjør, avskrivninger, periodiseringer og skatt"""
"Wir haben Fehler im Hauptbuch für Januar und Februar 2026 entdeckt. Überprüfen Sie alle Belege und finden Sie die 4 Fehler: eine Buchung auf das falsche Konto (Konto 6540 statt 6860, Betrag 3150 NOK), ein doppelter Beleg (Konto 6500, Betrag 1500 NOK), eine fehlende MwSt.-Zeile (Konto 6300, Betrag ohne MwSt. 22350 NOK, fehlende MwSt. auf Konto 2710), und ein falscher Betrag (Konto 6540, 11400 NOK gebucht statt 8550 NOK). Korrigieren Sie alle Fehler mit entsprechenden Korrekturbuchungen.","Task 24: Feilsøking i hovedbok"
"Perform simplified year-end closing for 2025: 1) Calculate and post annual depreciation for three assets: IT-utstyr (204150 NOK, 4 years straight-line, account 1210), Inventar (237550 NOK, 8 years, account 1240), Programvare (307500 NOK, 4 years, account 1250). Use account 6010 for depreciation expense and 1209 for accumulated depreciation. 2) Reverse prepaid expenses (total 44300 NOK on account 1700). 3) Calculate and post tax provision (22% of taxable profit) on account 8700/2920. Post each depreciation as a separate voucher.","Task 30: ""Årsoppgjør, avskrivninger, periodiseringer og skatt"""
"Me sende ein faktura på 12301 EUR til Bølgekraft AS (org.nr 830993940) då kursen var 10.83 NOK/EUR. Kunden har no betalt, men kursen er 11.83 NOK/EUR. Registrer betalinga og bokfør valutadifferansen (agio) på rett konto.","Task 27: Valutafaktura med agio/disagio"
"Me har ein ny tilsett som heiter Geir Stølsvik, fødd 6. March 1990. Opprett vedkomande som tilsett med e-post geir.stlsvik@example.org og startdato 14. November 2026.","Task 1: Opprett ansatt"
"Registe 27 horas para Ana Sousa (ana.sousa@example.org) na atividade ""Utvikling"" do projeto ""Migração de dados"" para Montanha Lda (org. nº 870501366). Taxa horária: 800 NOK/h. Gere uma fatura de projeto ao cliente com base nas horas registadas.","Task 16: Timeføring og fakturering"
"Erstellen Sie einen Auftrag für den Kunden Waldstein GmbH (Org.-Nr. 899060113) mit den Produkten Netzwerkdienst (5411) zu 29200 NOK und Schulung (7883) zu 10350 NOK. Wandeln Sie den Auftrag in eine Rechnung um und registrieren Sie die vollständige Zahlung.","Task 10: Ordre til faktura til betaling"
"Le paiement de Étoile SARL (nº org. 943745862) pour la facture ""Conseil en données"" (33900 NOK HT) a été retourné par la banque. Annulez le paiement afin que la facture affiche à nouveau le montant impayé.","Task 18: Reverser betaling (bankretur)"
"Crea y envía una factura al cliente Montaña SL (org. nº 831306742) por 48600 NOK sin IVA. La factura es por Licencia de software.","Task 6: Opprett enkel faktura"
"Me sende ein faktura på 9364 EUR til Elvdal AS (org.nr 808826054) då kursen var 11.65 NOK/EUR. Kunden har no betalt, men kursen er 12.35 NOK/EUR. Registrer betalinga og bokfør valutadifferansen (agio) på rett konto.","Task 27: Valutafaktura med agio/disagio"
"The payment from Ridgepoint Ltd (org no. 990845042) for the invoice ""Cloud Storage"" (43550 NOK excl. VAT) was returned by the bank. Reverse the payment so the invoice shows the outstanding amount again.","Task 18: Reverser betaling (bankretur)"
"Wir benotigen die Headset-Ausgabe aus dieser Quittung in der Abteilung Salg. Verwenden Sie das richtige Aufwandskonto und stellen Sie die korrekte MwSt.-Behandlung sicher.","Task 22: Utgift fra kvittering (PDF) på avdeling"
"Necesitamos el gasto de USB-hub de este recibo registrado en el departamento Utvikling. Usa la cuenta de gastos correcta y asegura el tratamiento correcto del IVA.","Task 22: Utgift fra kvittering (PDF) på avdeling"
"Reconcile the bank statement (attached CSV) against open invoices in Tripletex. Match incoming payments to customer invoices and outgoing payments to supplier invoices. Handle partial payments correctly.","Task 23: Bankavstemming fra CSV"
"Kunden Strandvik AS (org.nr 840390055) har ein uteståande faktura på 27050 kr eksklusiv MVA for ""Datarådgjeving"". Registrer full betaling på denne fakturaen.","Task 7: Registrer utgående betaling"
"Nous avons un nouvel employé nommé Manon Thomas, né le 14. December 1981. Veuillez le créer en tant qu'employé avec l'e-mail manon.thomas@example.org et la date de début 22. January 2026.","Task 1: Opprett ansatt"
"El cliente Viento SL (org. nº 857019199) ha reclamado sobre la factura por ""Informe de análisis"" (27200 NOK sin IVA). Emita una nota de crédito completa que revierta toda la factura.","Task 14: Krediter faktura (kreditnota)"
